Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Construction_time
FRANCE,FR -52  ,GRAVELINES-6,PWR  ,CP1,2785,951,910,EDF,FRAM,78.7,80.3,1979-10-01,1985-08-01,1985-10-01 00:00:00,2131
FRANCE,FR -53  ,CATTENOM-2,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,77.0,79.3,1980-07-01,1987-09-01,1988-02-01 00:00:00,2618
FRANCE,FR -54  ,BELLEVILLE-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,75.5,77.0,1980-05-01,1987-10-01,1988-06-01 00:00:00,2709
FRANCE,FR -55  ,BELLEVILLE-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,77.1,78.9,1980-08-01,1988-07-01,1989-01-01 00:00:00,2891
FRANCE,FR -56  ,CHINON B-3,PWR  ,CP2,2785,954,905,EDF,FRAM,77.9,79.6,1980-10-01,1986-10-01,1987-03-01 00:00:00,2191
FRANCE,FR -57  ,CHINON B-4,PWR  ,CP2,2785,954,905,EDF,FRAM,78.3,80.2,1981-02-01,1987-11-01,1988-04-01 00:00:00,2464
FRANCE,FR -58  ,NOGENT-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,77.6,79.6,1981-05-01,1987-10-01,1988-02-01 00:00:00,2344
FRANCE,FR -59  ,NOGENT-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,79.9,82.2,1982-01-01,1988-12-01,1989-05-01 00:00:00,2526
FRANCE,FR -60  ,CATTENOM-3,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,79.2,81.4,1982-06-01,1990-07-01,1991-02-01 00:00:00,2952
FRANCE,FR -61  ,GOLFECH-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,82.5,85.4,1982-11-01,1990-06-01,1991-02-01 00:00:00,2769
FRANCE,FR -62  ,CHOOZ B-1,PWR  ,N4 REP 1450,4270,1560,1500,EDF,FRAM,78.0,81.1,1984-01-01,1996-08-01,2000-05-01 00:00:00,4596
FRANCE,FR -63  ,PENLY-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,80.7,82.1,1982-09-01,1990-05-01,1990-12-01 00:00:00,2799
FRANCE,FR -64  ,PENLY-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,82.3,83.6,1984-08-01,1992-02-01,1992-11-01 00:00:00,2740
FRANCE,FR -65  ,CATTENOM-4,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,81.3,83.8,1983-09-01,1991-05-01,1992-01-01 00:00:00,2799
FRANCE,FR -68  ,GOLFECH-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,83.9,85.6,1984-10-01,1993-06-01,1994-03-01 00:00:00,3165
FRANCE,FR -70  ,CHOOZ B-2,PWR  ,N4 REP 1450,4270,1560,1500,EDF,FRAM,77.9,83.5,1985-12-01,1997-04-01,2000-09-01 00:00:00,4139
FRANCE,FR -72  ,CIVAUX-1,PWR  ,N4 REP 1450,4270,1561,1495,EDF,FRAM,75.9,78.8,1988-10-01,1997-12-01,2002-01-01 00:00:00,3348
