Country,Code,Name,Type,Model,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown,EAF,UCF,NEA,Status,Construction_time
FINLAND,FI -1   ,LOVIISA-1,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,1971-05-01,1977-02-01,1977-05-01 00:00:00,,88.0,88.6,-,Online,2103
FINLAND,FI -2   ,LOVIISA-2,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,1972-08-01,1980-11-01,1981-01-01 00:00:00,,89.5,90.3,-,Online,3014
FINLAND,FI -3   ,OLKILUOTO-1,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,1974-02-01,1978-09-01,1979-10-01 00:00:00,,92.8,93.2,-,Online,1673
FINLAND,FI -4   ,OLKILUOTO-2,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,1975-11-01,1980-02-01,1982-07-01 00:00:00,,93.0,93.6,-,Online,1553
FRANCE,FR -13  ,BUGEY-2,PWR  ,CP0,2785,945,910,EDF,FRAM,1972-11-01,1978-05-01,1979-03-01 00:00:00,,72.2,74.4,-,Online,2007
FRANCE,FR -14  ,BUGEY-3,PWR  ,CP0,2785,945,910,EDF,FRAM,1973-09-01,1978-09-01,1979-03-01 00:00:00,,70.8,73.3,-,Online,1826
FRANCE,FR -15  ,BUGEY-4,PWR  ,CP0,2785,917,880,EDF,FRAM,1974-06-01,1979-03-01,1979-07-01 00:00:00,,74.3,76.3,-,Online,1734
FRANCE,FR -16  ,BUGEY-5,PWR  ,CP0,2785,917,880,EDF,FRAM,1974-07-01,1979-07-01,1980-01-01 00:00:00,,72.4,74.8,-,Online,1826
FRANCE,FR -17  ,ST. LAURENT B-1,PWR  ,CP2,2785,956,915,EDF,FRAM,1976-05-01,1981-01-01,1983-08-01 00:00:00,,75.2,77.4,-,Online,1706
FRANCE,FR -18  ,TRICASTIN-1,PWR  ,CP1,2785,955,915,EDF,FRAM,1974-11-01,1980-05-01,1980-12-01 00:00:00,,75.2,78.0,-,Online,2008
FRANCE,FR -19  ,TRICASTIN-2,PWR  ,CP1,2785,955,915,EDF,FRAM,1974-12-01,1980-08-01,1980-12-01 00:00:00,,74.9,78.4,-,Online,2070
FRANCE,FR -20  ,GRAVELINES-1,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-02-01,1980-03-01,1980-11-01 00:00:00,,74.1,76.0,-,Online,1855
FRANCE,FR -21  ,GRAVELINES-2,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-03-01,1980-08-01,1980-12-01 00:00:00,,76.8,79.0,-,Online,1980
FRANCE,FR -22  ,DAMPIERRE-1,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-02-01,1980-03-01,1980-09-01 00:00:00,,74.8,77.7,-,Online,1855
FRANCE,FR -23  ,ST. LAURENT B-2,PWR  ,CP2,2785,956,915,EDF,FRAM,1976-07-01,1981-06-01,1983-08-01 00:00:00,,75.0,77.5,-,Online,1796
FRANCE,FR -25  ,TRICASTIN-3,PWR  ,CP1,2785,955,915,EDF,FRAM,1975-04-01,1981-02-01,1981-05-01 00:00:00,,76.9,80.4,-,Online,2133
FRANCE,FR -26  ,TRICASTIN-4,PWR  ,CP1,2785,955,915,EDF,FRAM,1975-05-01,1981-06-01,1981-11-01 00:00:00,,78.8,81.3,-,Online,2223
FRANCE,FR -27  ,GRAVELINES-3,PWR  ,CP1,2785,951,910,EDF,FRAM,1975-12-01,1980-12-01,1981-06-01 00:00:00,,77.4,78.9,-,Online,1827
FRANCE,FR -28  ,GRAVELINES-4,PWR  ,CP1,2785,951,910,EDF,FRAM,1976-04-01,1981-06-01,1981-10-01 00:00:00,,78.0,79.5,-,Online,1887
FRANCE,FR -29  ,DAMPIERRE-2,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-04-01,1980-12-01,1981-02-01 00:00:00,,77.1,78.8,-,Online,2071
FRANCE,FR -30  ,DAMPIERRE-3,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-09-01,1981-01-01,1981-05-01 00:00:00,,77.7,79.5,-,Online,1949
FRANCE,FR -31  ,DAMPIERRE-4,PWR  ,CP1,2785,937,890,EDF,FRAM,1975-12-01,1981-08-01,1981-11-01 00:00:00,,75.7,78.1,-,Online,2070
FRANCE,FR -32  ,BLAYAIS-1,PWR  ,CP1,2785,951,910,EDF,FRAM,1977-01-01,1981-06-01,1981-12-01 00:00:00,,76.8,79.6,-,Online,1612
FRANCE,FR -33  ,BLAYAIS-2,PWR  ,CP1,2785,951,910,EDF,FRAM,1977-01-01,1982-07-01,1983-02-01 00:00:00,,80.1,82.1,-,Online,2007
FRANCE,FR -34  ,BLAYAIS-3,PWR  ,CP1,2785,951,910,EDF,FRAM,1978-04-01,1983-08-01,1983-11-01 00:00:00,,78.8,80.8,-,Online,1948
FRANCE,FR -35  ,BLAYAIS-4,PWR  ,CP1,2785,951,910,EDF,FRAM,1978-04-01,1983-05-01,1983-10-01 00:00:00,,78.6,81.0,-,Online,1856
FRANCE,FR -36  ,PALUEL-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1977-08-01,1984-06-01,1985-12-01 00:00:00,,75.4,78.1,-,Online,2496
FRANCE,FR -37  ,PALUEL-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1978-01-01,1984-09-01,1985-12-01 00:00:00,,67.0,69.3,-,Online,2435
FRANCE,FR -38  ,PALUEL-3,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1979-02-01,1985-09-01,1986-02-01 00:00:00,,71.7,74.2,-,Online,2404
FRANCE,FR -39  ,PALUEL-4,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1980-02-01,1986-04-01,1986-06-01 00:00:00,,76.4,78.5,-,Online,2251
FRANCE,FR -40  ,CHINON B-1,PWR  ,CP2,2785,954,905,EDF,FRAM,1977-03-01,1982-11-01,1984-02-01 00:00:00,,76.3,78.1,-,Online,2071
FRANCE,FR -41  ,CHINON B-2,PWR  ,CP2,2785,954,905,EDF,FRAM,1977-03-01,1983-11-01,1984-08-01 00:00:00,,76.4,78.4,-,Online,2436
FRANCE,FR -42  ,CRUAS-1,PWR  ,CP2,2785,956,915,EDF,FRAM,1978-08-01,1983-04-01,1984-04-01 00:00:00,,76.2,78.7,-,Online,1704
FRANCE,FR -43  ,CRUAS-2,PWR  ,CP2,2785,956,915,EDF,FRAM,1978-11-01,1984-09-01,1985-04-01 00:00:00,,77.0,80.2,-,Online,2131
FRANCE,FR -44  ,CRUAS-3,PWR  ,CP2,2785,956,915,EDF,FRAM,1979-04-01,1984-05-01,1984-09-01 00:00:00,,77.1,80.6,-,Online,1857
FRANCE,FR -45  ,CRUAS-4,PWR  ,CP2,2785,956,915,EDF,FRAM,1979-10-01,1984-10-01,1985-02-01 00:00:00,,75.7,78.6,-,Online,1827
FRANCE,FR -46  ,FLAMANVILLE-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1979-12-01,1985-12-01,1986-12-01 00:00:00,,69.4,72.3,-,Online,2192
FRANCE,FR -47  ,FLAMANVILLE-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1980-05-01,1986-07-01,1987-03-01 00:00:00,,73.7,75.6,-,Online,2252
FRANCE,FR -48  ,ST. ALBAN-1,PWR  ,P4 REP 1300,3817,1381,1335,EDF,FRAM,1979-01-01,1985-08-01,1986-05-01 00:00:00,,75.0,77.3,-,Online,2404
FRANCE,FR -49  ,ST. ALBAN-2,PWR  ,P4 REP 1300,3817,1381,1335,EDF,FRAM,1979-07-01,1986-07-01,1987-03-01 00:00:00,,75.6,78.4,-,Online,2557
FRANCE,FR -50  ,CATTENOM-1,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1979-10-01,1986-11-01,1987-04-01 00:00:00,,73.1,74.9,-,Online,2588
FRANCE,FR -51  ,GRAVELINES-5,PWR  ,CP1,2785,951,910,EDF,FRAM,1979-10-01,1984-08-01,1985-01-01 00:00:00,,76.4,78.1,-,Online,1766
FRANCE,FR -52  ,GRAVELINES-6,PWR  ,CP1,2785,951,910,EDF,FRAM,1979-10-01,1985-08-01,1985-10-01 00:00:00,,78.3,79.9,-,Online,2131
FRANCE,FR -53  ,CATTENOM-2,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1980-07-01,1987-09-01,1988-02-01 00:00:00,,76.8,79.1,-,Online,2618
FRANCE,FR -54  ,BELLEVILLE-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1980-05-01,1987-10-01,1988-06-01 00:00:00,,75.8,77.4,-,Online,2709
FRANCE,FR -55  ,BELLEVILLE-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1980-08-01,1988-07-01,1989-01-01 00:00:00,,77.0,78.9,-,Online,2891
